# packages in environment at /home/datascience/conda/pyspark32_p38_cpu_v2:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
abseil-cpp                20211102.0           hd4dd3e8_0    https://repo.anaconda.cloud/repo/main
anyio                     3.5.0            py38h06a4308_0    https://repo.anaconda.cloud/repo/main
argon2-cffi               21.3.0             pyhd3eb1b0_0    https://repo.anaconda.cloud/repo/main
argon2-cffi-bindings      21.2.0           py38h7f8727e_0    https://repo.anaconda.cloud/repo/main
arrow                     1.2.3                    pypi_0    pypi
arrow-cpp                 8.0.0            py38h60b952e_0    https://repo.anaconda.cloud/repo/main
asteval                   0.9.27             pyhd8ed1ab_0    conda-forge
atk-1.0                   2.36.0               ha1a6a79_0    https://repo.anaconda.cloud/repo/main
atpublic                  3.1.1                    pypi_0    pypi
attrs                     21.4.0             pyhd3eb1b0_0    https://repo.anaconda.cloud/repo/main
autovizwidget             0.20.0                   pypi_0    pypi
aws-c-common              0.4.57               he6710b0_1    https://repo.anaconda.cloud/repo/main
aws-c-event-stream        0.1.6                h2531618_5    https://repo.anaconda.cloud/repo/main
aws-checksums             0.1.9                he6710b0_0    https://repo.anaconda.cloud/repo/main
aws-sdk-cpp               1.8.185              hce553d0_0    https://repo.anaconda.cloud/repo/main
backcall                  0.2.0              pyhd3eb1b0_0    https://repo.anaconda.cloud/repo/main
beautifulsoup4            4.11.1           py38h06a4308_0    https://repo.anaconda.cloud/repo/main
bitarray                  2.5.1            py38h5eee18b_0    https://repo.anaconda.cloud/repo/main
blas                      1.0                    openblas    https://repo.anaconda.cloud/repo/main
bleach                    4.1.0              pyhd3eb1b0_0    https://repo.anaconda.cloud/repo/main
blis                      0.7.9                    pypi_0    pypi
blosc                     1.21.0               h4ff587b_1    https://repo.anaconda.cloud/repo/main
bokeh                     2.4.3            py38h06a4308_0    main
boost-cpp                 1.73.0              h7f8727e_12    https://repo.anaconda.cloud/repo/main
bottleneck                1.3.5            py38h7deecbd_0    https://repo.anaconda.cloud/repo/main
branca                    0.6.0              pyhd8ed1ab_0    conda-forge
brotli                    1.0.9                h5eee18b_7    https://repo.anaconda.cloud/repo/main
brotli-bin                1.0.9                h5eee18b_7    https://repo.anaconda.cloud/repo/main
brotlipy                  0.7.0           py38h27cfd23_1003    https://repo.anaconda.cloud/repo/main
bzip2                     1.0.8                h7b6447c_0    https://repo.anaconda.cloud/repo/main
c-ares                    1.18.1               h7f8727e_0    https://repo.anaconda.cloud/repo/main
ca-certificates           2021.10.26           h06a4308_2    main
cairo                     1.16.0               h19f5f5c_2    https://repo.anaconda.cloud/repo/main
catalogue                 2.0.7            py38h06a4308_0    https://repo.anaconda.cloud/repo/main
cerberus                  1.3.4              pyhd3eb1b0_0    main
certifi                   2021.10.8        py38h06a4308_2    main
cffi                      1.15.1           py38h74dc2b5_0    https://repo.anaconda.cloud/repo/main
cfitsio                   3.470                h5893167_7    https://repo.anaconda.cloud/repo/main
charset-normalizer        2.0.4              pyhd3eb1b0_0    https://repo.anaconda.cloud/repo/main
circuitbreaker            1.4.0                    pypi_0    pypi
click                     7.1.2              pyhd3eb1b0_0    https://repo.anaconda.cloud/repo/main
click-plugins             1.1.1              pyhd3eb1b0_0    https://repo.anaconda.cloud/repo/main
